4
1
-1	8	6	9	-1	15	3	-1	2	16	12	-1	7	10	5	4	
3	-1	-1	15	-1	-1	16	-1	11	-1	-1	4	14	12	2	9	
-1	12	-1	-1	-1	-1	-1	-1	1	6	3	7	-1	15	16	11	
16	-1	-1	-1	-1	12	-1	-1	5	-1	9	-1	1	-1	-1	3	
2	3	16	12	-1	-1	4	6	-1	-1	-1	-1	-1	11	7	-1	
-1	-1	-1	-1	-1	-1	15	2	12	7	-1	-1	-1	-1	14	16	
-1	-1	13	-1	3	16	-1	-1	4	-1	11	-1	6	9	-1	5	
4	-1	-1	-1	-1	7	14	-1	-1	-1	-1	6	12	-1	10	-1	
9	13	-1	-1	16	3	-1	-1	7	1	15	-1	10	6	11	-1	
12	16	11	-1	-1	4	9	-1	-1	-1	-1	3	15	-1	8	7	
-1	-1	-1	-1	-1	-1	5	-1	9	-1	10	-1	16	-1	-1	-1	
-1	-1	15	2	-1	11	-1	1	-1	4	-1	-1	-1	3	9	12	
-1	-1	-1	-1	4	8	-1	5	13	14	1	-1	9	7	3	-1	
5	7	-1	-1	-1	10	6	3	16	12	4	15	-1	14	-1	1	
-1	4	-1	-1	15	-1	2	7	-1	-1	-1	9	11	-1	-1	8	
-1	2	-1	-1	12	13	1	-1	-1	8	-1	-1	-1	5	-1	6	
