4
1
1	-1	-1	-1	-1	3	-1	9	-1	-1	16	-1	15	6	14	-1	
-1	12	3	-1	-1	11	-1	13	5	-1	4	-1	2	1	-1	-1	
2	-1	9	-1	-1	-1	-1	14	8	6	-1	-1	-1	-1	7	-1	
-1	14	13	-1	-1	12	-1	5	-1	-1	-1	-1	-1	-1	10	-1	
9	-1	1	11	2	-1	14	-1	-1	-1	-1	8	-1	-1	3	-1	
4	-1	-1	-1	-1	6	-1	10	3	1	5	-1	-1	11	15	-1	
-1	15	16	-1	-1	5	-1	7	6	-1	2	-1	1	14	9	-1	
6	-1	12	5	1	13	-1	11	-1	-1	14	-1	4	-1	-1	-1	
11	8	-1	-1	-1	14	-1	1	-1	16	7	-1	-1	2	5	-1	
-1	3	-1	-1	-1	-1	-1	8	14	15	-1	10	-1	-1	-1	16	
5	-1	-1	-1	12	-1	15	-1	-1	8	11	-1	-1	-1	4	-1	
-1	-1	14	9	-1	10	-1	4	-1	-1	-1	2	8	15	13	7	
-1	9	-1	1	14	-1	-1	2	-1	3	12	-1	13	8	11	15	
-1	-1	8	-1	-1	-1	-1	-1	11	-1	-1	7	5	-1	6	-1	
14	-1	-1	-1	15	-1	-1	6	1	-1	9	5	3	-1	-1	2	
-1	4	6	7	-1	-1	-1	-1	-1	2	8	-1	-1	-1	16	-1	
