5
1
-1	10	2	24	1	3	17	-1	16	13	23	18	12	-1	25	6	-1	9	22	-1	21	20	8	19	5	
20	18	11	6	25	24	-1	21	8	9	16	22	4	-1	15	-1	19	17	1	7	3	-1	23	-1	14	
-1	7	5	12	-1	18	14	4	-1	23	21	11	24	-1	17	8	16	10	13	20	15	2	25	6	22	
-1	15	-1	22	16	-1	25	12	7	2	5	14	13	-1	20	-1	11	3	23	-1	1	4	-1	9	-1	
-1	21	3	-1	14	-1	-1	20	10	15	-1	9	8	2	-1	25	24	-1	4	-1	11	18	17	-1	7	
23	2	20	8	17	9	-1	22	5	11	19	21	25	14	4	10	12	-1	-1	15	16	3	1	-1	6	
21	19	9	1	11	25	10	6	-1	4	20	15	22	-1	-1	3	8	14	-1	16	18	23	7	5	-1	
-1	13	18	4	5	14	15	-1	23	8	24	-1	16	11	-1	22	-1	7	6	25	2	-1	19	20	12	
24	12	6	3	15	17	-1	-1	2	16	18	-1	10	13	-1	-1	5	4	-1	11	25	8	14	22	-1	
-1	16	25	14	7	19	21	24	12	18	17	3	5	6	8	20	2	1	9	23	10	11	15	4	13	
3	22	-1	15	18	16	13	2	25	17	10	5	-1	1	-1	24	14	19	8	6	12	-1	9	23	-1	
6	1	14	-1	13	11	23	-1	15	3	2	24	20	9	16	-1	18	-1	-1	12	8	19	22	10	4	
11	-1	-1	19	-1	1	22	-1	-1	14	12	23	-1	15	13	16	-1	20	10	9	-1	-1	2	17	3	
12	23	10	17	2	-1	-1	8	9	20	3	4	14	18	19	-1	22	15	-1	-1	13	24	16	25	21	
16	5	7	-1	20	10	24	19	21	12	8	25	17	22	6	4	-1	23	-1	2	-1	15	11	-1	-1	
5	4	16	18	10	2	1	23	14	-1	-1	13	6	24	21	9	3	22	11	19	17	12	20	8	25	
1	14	-1	2	22	-1	-1	16	19	6	25	8	9	17	-1	15	20	18	12	13	7	10	21	-1	23	
8	25	-1	7	-1	15	9	17	22	-1	1	16	11	20	-1	23	-1	24	2	4	19	14	3	13	18	
9	3	17	21	23	8	11	13	20	25	14	19	-1	4	12	7	1	5	16	10	-1	-1	24	-1	15	
15	11	13	-1	19	-1	18	10	24	-1	7	-1	3	23	-1	-1	6	25	-1	8	9	5	-1	1	16	
-1	24	1	10	8	20	4	9	6	19	22	12	2	5	-1	21	-1	16	15	18	23	17	13	-1	11	
2	6	22	11	21	13	12	25	-1	24	4	10	1	16	7	-1	23	8	14	3	20	9	18	15	19	
18	20	15	13	4	21	2	7	3	1	9	6	23	-1	24	12	-1	11	19	-1	22	16	5	14	8	
-1	9	23	16	3	5	8	15	11	10	13	17	19	21	18	-1	4	6	-1	22	24	25	12	7	-1	
7	17	19	5	-1	23	16	14	18	22	11	20	15	8	3	-1	9	2	25	24	-1	1	6	21	-1	
