4
1
2	-1	-1	-1	-1	-1	-1	-1	13	9	-1	-1	-1	-1	-1	15	
-1	-1	7	-1	2	-1	10	-1	16	-1	14	-1	9	-1	4	13	
16	-1	-1	-1	-1	-1	-1	9	-1	-1	7	10	-1	14	-1	-1	
-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	14	-1	9	-1	-1	-1	-1	-1	16	-1	
-1	-1	-1	14	-1	8	-1	-1	6	-1	12	-1	-1	-1	15	3	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	9	-1	-1	
-1	-1	-1	-1	16	-1	9	-1	1	-1	5	-1	-1	13	-1	-1	
13	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	1	-1	-1	-1	4	
14	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	5	
-1	3	-1	-1	-1	6	-1	-1	4	7	-1	5	8	-1	-1	-1	
-1	-1	-1	4	11	-1	1	-1	14	-1	-1	-1	-1	-1	3	7	
11	-1	-1	5	-1	9	-1	2	-1	-1	-1	-1	-1	-1	-1	10	
-1	15	3	-1	-1	14	-1	-1	7	-1	13	8	5	-1	9	-1	
4	14	-1	-1	5	-1	-1	-1	-1	6	-1	-1	-1	3	7	8	
-1	-1	-1	10	3	-1	15	-1	-1	14	-1	-1	-1	-1	-1	-1	
