4
1
-1	14	-1	-1	10	1	3	-1	6	-1	-1	11	8	13	-1	-1	
11	3	9	-1	-1	-1	-1	7	-1	-1	2	8	-1	6	10	16	
-1	-1	-1	1	2	6	-1	8	-1	13	3	-1	-1	-1	4	-1	
8	-1	-1	-1	13	11	-1	9	-1	15	14	-1	3	2	-1	-1	
-1	-1	-1	-1	-1	-1	7	1	10	9	-1	2	-1	-1	11	-1	
9	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	5	10	-1	-1	
-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	9	-1	7	
-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	1	3	14	
-1	-1	-1	16	3	13	-1	-1	-1	10	-1	-1	11	15	8	12	
6	-1	11	3	1	-1	-1	-1	12	8	-1	13	-1	-1	16	-1	
-1	-1	-1	8	4	-1	-1	6	16	5	-1	-1	-1	3	-1	-1	
13	-1	-1	-1	-1	7	8	-1	-1	-1	-1	-1	9	5	6	10	
-1	-1	-1	15	7	2	-1	-1	9	-1	-1	-1	10	-1	-1	-1	
-1	-1	-1	7	8	-1	1	3	13	6	-1	5	15	12	-1	-1	
2	-1	-1	9	12	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	
-1	13	10	-1	9	-1	-1	15	-1	12	-1	-1	-1	11	-1	5	
