4
1
-1	2	14	-1	4	-1	10	15	16	9	-1	13	-1	6	-1	1	
-1	10	-1	13	2	7	-1	11	5	4	15	1	3	9	14	12	
-1	3	-1	5	-1	14	13	16	-1	12	-1	7	-1	15	11	2	
15	4	-1	1	9	3	-1	12	14	6	11	2	5	13	10	16	
13	16	8	-1	14	15	-1	7	-1	1	2	4	6	11	5	10	
-1	5	2	14	-1	8	4	3	-1	13	-1	-1	15	12	-1	9	
9	6	1	10	-1	2	-1	5	3	-1	12	15	8	-1	16	-1	
4	11	12	15	6	-1	9	1	7	8	5	16	-1	2	13	3	
-1	9	11	6	10	1	16	8	4	3	13	-1	2	-1	7	15	
10	-1	-1	4	15	6	5	-1	-1	2	-1	9	-1	16	3	11	
-1	7	3	-1	11	4	-1	9	15	5	16	14	13	10	6	-1	
-1	-1	5	2	3	12	7	13	8	10	-1	-1	-1	1	-1	14	
2	-1	4	8	12	11	3	-1	-1	16	-1	5	10	14	15	-1	
11	12	-1	-1	5	-1	-1	-1	6	-1	4	3	1	8	-1	13	
3	14	-1	7	8	13	-1	-1	-1	11	1	10	16	4	-1	5	
5	13	-1	16	7	-1	-1	4	2	-1	14	8	-1	-1	12	-1	
