5
1
-1	19	7	24	14	23	9	11	17	5	13	21	2	15	16	3	-1	-1	6	20	-1	25	-1	-1	4	
5	4	-1	23	3	13	-1	15	24	22	-1	7	12	20	17	25	16	-1	18	1	19	-1	2	-1	9	
1	-1	-1	-1	-1	12	-1	-1	16	10	25	19	8	5	-1	9	4	-1	7	24	3	-1	17	11	-1	
21	-1	22	25	20	-1	4	-1	3	2	6	14	9	18	-1	-1	11	12	17	5	-1	-1	-1	13	-1	
9	8	-1	17	-1	18	25	1	7	14	24	-1	-1	22	11	-1	13	21	-1	2	12	-1	15	-1	-1	
-1	23	-1	-1	-1	24	13	-1	19	8	-1	-1	6	25	4	14	17	-1	15	11	-1	12	-1	21	-1	
7	-1	-1	19	9	-1	-1	-1	-1	21	16	13	23	-1	15	20	18	24	4	-1	-1	-1	11	3	6	
-1	15	4	18	16	6	-1	23	-1	-1	11	-1	17	1	-1	13	-1	9	12	-1	2	22	-1	-1	5	
24	21	-1	13	25	-1	12	-1	2	4	8	-1	18	10	14	16	-1	-1	23	22	-1	19	7	20	1	
6	-1	20	-1	8	-1	18	-1	-1	3	-1	24	19	12	9	21	-1	2	-1	-1	-1	17	10	4	13	
11	22	19	10	21	-1	16	5	12	-1	1	25	7	-1	24	8	2	-1	20	23	18	3	6	9	14	
25	18	9	16	5	21	10	8	1	24	3	2	14	11	19	-1	-1	17	13	6	-1	15	-1	-1	23	
14	-1	3	1	-1	22	23	-1	20	-1	15	18	-1	-1	6	7	19	11	10	9	8	-1	-1	-1	-1	
-1	7	-1	6	13	3	2	14	18	9	-1	17	22	8	12	24	21	16	-1	4	11	5	25	10	19	
8	-1	23	12	4	7	-1	6	-1	-1	20	-1	21	16	10	-1	25	18	14	3	22	2	-1	1	17	
-1	6	5	2	7	1	15	25	-1	23	-1	12	-1	9	13	-1	24	-1	11	8	21	14	3	16	18	
19	16	14	4	15	20	-1	12	21	18	-1	-1	-1	7	2	-1	-1	25	-1	13	24	-1	23	-1	10	
-1	-1	21	-1	-1	14	5	-1	10	13	19	6	25	23	3	2	-1	4	-1	-1	17	20	12	-1	11	
3	-1	-1	22	11	19	-1	4	-1	-1	5	-1	-1	14	8	17	20	-1	21	18	6	7	-1	2	-1	
23	-1	25	9	10	2	-1	-1	11	6	21	22	16	24	18	12	7	1	3	14	13	-1	5	19	15	
15	11	-1	-1	-1	9	22	21	6	12	18	16	24	17	20	-1	-1	-1	2	25	4	13	19	23	3	
13	-1	24	-1	-1	-1	17	3	4	15	-1	23	1	-1	7	11	5	20	22	12	10	18	-1	25	8	
4	25	6	7	12	10	20	18	-1	11	14	-1	13	-1	22	1	23	3	-1	21	-1	16	9	-1	-1	
16	3	10	20	17	25	19	-1	23	-1	-1	11	4	21	5	18	9	-1	8	15	14	1	22	6	12	
22	9	18	-1	-1	5	14	2	13	1	-1	-1	10	-1	25	4	6	-1	16	17	7	11	20	-1	24	
