4
1
-1	9	-1	-1	-1	-1	-1	-1	2	-1	-1	4	1	7	-1	11	
7	-1	-1	8	-1	15	-1	3	-1	11	-1	-1	9	6	-1	13	
1	10	-1	-1	2	-1	9	11	-1	-1	-1	-1	12	14	-1	4	
14	11	-1	6	-1	12	-1	-1	10	9	5	-1	3	-1	2	-1	
13	-1	10	-1	12	-1	4	1	-1	5	-1	-1	15	16	-1	-1	
-1	-1	12	-1	-1	10	-1	9	14	1	-1	-1	7	-1	-1	-1	
8	1	-1	9	5	-1	15	-1	16	12	6	2	10	-1	13	-1	
-1	-1	3	-1	14	16	11	-1	-1	-1	-1	-1	-1	1	12	2	
-1	12	1	10	-1	14	-1	-1	3	4	11	5	-1	9	-1	6	
5	-1	6	-1	-1	11	13	-1	8	-1	-1	-1	-1	10	-1	-1	
9	14	-1	3	-1	1	-1	-1	-1	-1	12	-1	-1	-1	4	-1	
-1	15	-1	7	-1	-1	-1	-1	1	-1	-1	-1	-1	5	-1	-1	
-1	-1	-1	-1	-1	-1	16	-1	9	7	-1	-1	-1	13	8	-1	
-1	-1	7	1	-1	5	-1	-1	15	-1	2	-1	-1	-1	6	-1	
12	-1	-1	16	-1	-1	-1	4	11	-1	8	-1	-1	-1	-1	10	
-1	8	9	-1	11	7	10	-1	5	-1	4	-1	-1	12	3	16	
